Chorinho,Hermeto Pascoal,Eu e Eles,Twpncwkwi6s2xeoulmbmgjg7rqq
Tributo a K-Ximbinho (feat. Isaias Bueno de Almeida),Madeira de Vento,Chovendo Canivetes,T4th5cbsvupxsr5rmzzz3kkajxu
"Chorando Baixinho (feat. Naylor ""Proveta"" Azevedo)",Madeira de Vento,Chovendo Canivetes,Tgheh3sfa3h3rg4rolwzeluo75i
Copacabana,Madeira de Vento,Assanhado,T3w5dud5frwzfegmkrsmqiiyuvm
Assanhado,Madeira de Vento,Assanhado,Tzcqmb6hoz6qfp5mobdt5c75dq4
O Trenzinho do Caipira,Madeira de Vento,Assanhado,Tzbwjoqe765h66o5aneiwfs2a4m
Eu Sei Que Vou Amar / Eu e a Brisa,Madeira de Vento,Assanhado,Th74v644axh7ncx5m2yevjuo6oq
Misturando Dominguinhos: Lamento Sert. / Gostoso Demais / Isso Aqui Tá Bom,Madeira de Vento,Assanhado,Taqwaulgcr5i5iwilkkiycp2re4
Brasileirinho,Madeira de Vento,Assanhado,T5emx7wnb4iyck62qtwsb2xvvqe
Chorinho prá ele,Henrique Cazes & Família Violão,Desde que o Choro é Choro...,Tf6ewsvw65w2vkgww3n2fpgs5hy
Samba Novo,Quarteto Maogani,Cordas Cruzadas,T7ru2xyctqndsp336ru6dawroqe
Chovendo na Roseira,Quarteto Maogani,Cordas Cruzadas,Tnkb4w2ngy5gynd5b5s3ix6flum
A Foggy Day em Teresópolis (feat. Ed Motta),Quarteto Maogani,Cordas Cruzadas,Thnoqrkgwzvu77q57rt7re4udja
Lamento No Morro,Quarteto Maogani,Água de Beber,T5zbzbhfizlgoft2zenqvezrdpe
Água de Beber,Quarteto Maogani,Água de Beber,T2hdsrezj7uekrzlo7vekoo6eue
Morena Boca de Ouro,Quarteto Maogani,Água de Beber,Tm5y3fiinds72ukzv5fd5h5bpyq
O Morro Não Tem Vez,Quarteto Maogani,Água de Beber,Tnevvx2p3ym2pnfdgvlo6nxpk7a
I Got Rhythm / Surfboard,Quarteto Maogani,Álbum da Califórnia,Twk7xypz54e4idefho3uc3s2p7i
Moacirsantosiana,Quarteto Maogani,Impressões de Choro,Tv3qhimtbwjxud6b5cz5mpzv4qm
A Ginga do Mané,Quarteto Maogani,Impressões de Choro,Ti2t3bzpzfozoggfrdbxrsua5ty
Sinceridade,Quarteto Maogani,Impressões de Choro,Tlx5x2pqpfereg23nyjg2are6sq
Noites Brasileiras,Quarteto Maogani,Impressões de Choro,Tw7jtqj55vrehlm772pn2cbmu4e
Meu Caro Amigo,Quarteto Maogani,Impressões de Choro,Tandtdbqfneiwz5zfh6olvnspdy
Cravo e Canela,Quarteto Maogani,Álbum da Califórnia,Txgfbith5mityf5vlmsoudefnsa
Vuelvo al Sur,Quarteto Maogani,Canela,Trajijzdi2kke4o2a2u4by4ded4
Chovendo Na Roseira (feat. Monica Salmaso & Renato Braz),Quarteto Maogani,Álbum da Califórnia,T6wiycgjmx5cwox7gsuwjc5a7iq
Bananeira,Quarteto Maogani,Álbum da Califórnia,To6kr6gmreep7or4sdze265zqy4
Manhã de carnaval,Quarteto Maogani,Álbum da Califórnia,Tqh3ezl5ywnxj6iywmubgtsccq4
Modinha,Quaternaglia,Xangô,Togb3xb5p6uxxvuzblvp7kddxvi
Choros No. 5,Quaternaglia,Xangô,Triisostckhztm52nmwh2goboaq
Bachianas Brasileiras No. 9: Fuga,Quaternaglia,Xangô,T7gfzjyinr4scsyufme36sapf6m
Bachianas Brasileiras No. 9: Prelúdio,Quaternaglia,Xangô,Tdqpy7g45t4bu2nax33l6ygghmy
