Palco (Ao Vivo),Gilberto Gil,Unplugged (Ao Vivo),Tst6e67bxwtlwa3hgnfp53wr4wa
Eu Só Quero um Xodó,Gilberto Gil,Cidade do Salvador (Vol. 1),Tm54a223hkudli2i2j3n2rre2vm
Chiclete Com Banana,Gilberto Gil,Expresso 2222,T5aprlsinhksjgf3hwe2pzm2lcq
Palco,Gilberto Gil,Luar,Tpgtht2dgecd5hirjafpwsd7bjy
Vamos Fugir,Gilberto Gil,Raça Humana,Tws3wjzpiy2uwrevwztmn43lvqm
Cinema novo,"Caetano Veloso, Gilberto Gil","Jazz Festival, Vol. 2 (The Most Beautiful Jazz Essentials for a Chillin' Summer Night)",Tn36zki4t4fgrvcgkuitrpekx7q
Tenho Sede,Gilberto Gil,Refazenda,Tnpl4kjwzanglijmfalqgbzy3lm
Refazenda,Gilberto Gil,Refazenda,Titmsbfppzeafldq7gb5bl65cka
Jeca Total,Gilberto Gil,Refazenda,Tjz3bh2pclo6pal2dgcjdbcsvp4
Retiros Espirituais,Gilberto Gil,Refazenda,Tti7fopreckegoe3ybrh3r73myi
Lamento Sertanejo,Gilberto Gil,Refazenda,Tbiprsutqeoime5q6edqha5g7hy
Aqui e Agora,Gilberto Gil,Refavela,T3onsvajclh2bql2vqwmt7liwbi
Samba Do Avião,Gilberto Gil,Refavela,Tvdrqxuv6kyiiageme5gb32m62q
Sítio Do Pica Pau Amarelo (Bonus Track),Gilberto Gil,Refavela,Toh7jtvm45uqbxm64dyqtufaxmi
Esperando na Janela,Gilberto Gil,"As Canções de Eu, Tu, Eles",Tmo7guo4bhbos7i7wf2pu6nojre
Qui Nem Jiló,Gilberto Gil,"As Canções de Eu, Tu, Eles",Tdvk7wqsvhmjnsg5ltct26almui
Andar Com Fé,Gilberto Gil,Um Banda Um,T6rpzwkxt5h3djrjioyfdoku66m
Marina,Gilberto Gil,Realce,Tcjhps3lesnyxxtz3rq3ljeulcm
Aquele Abraço,Gilberto Gil,Gilberto Gil (1969),T6buwg5hxcmidc25pk5zbvtw6ue
Feijoada Completa,Chico Buarque,Chico Buarque,T33lawd77eyod2o4kmhkkwxgcha
A Rita,Chico Buarque de Hollanda,Os Primeiros Clássicos,Tluf5tkw5kh7jf2t4l3vbszs2eq
Pedro Pedreiro,Chico Buarque de Hollanda,Os Primeiros Clássicos,Tatar4whmsmfqwevc35zxifonmu
Trocando Em Miúdos,Chico Buarque,Chico Buarque,T6z4ciongq6h33tdu3lr46aj35e
"Quem Te Viu, Quem Te Vê",Chico Buarque,Chico Buarque de Hollanda Vol. 2,Th35bj7i452uvoicadmo4epw2gm
Gente Humilde,Chico Buarque,A Arte De Chico Buarque,T2vjjex6yiaektbwop4kkqv4wjm
Apesar De Você,Chico Buarque,Chico Buarque,Tbdmunhxnsqy4jsj43xi4cre3k4
