Já Fui uma Brasa,Casuarina,Casuarina,Tsmc7ys6je6z3xnfy6qkfxrbspe
Certidão,Casuarina,Certidão,Tnpz537bmpunyemm73xzjn53woy
Laranja Madura,Casuarina,Casuarina,T4eeu2mapo2o3bxxtcr6sbzbdde
Quando Você Deixar,Casuarina,7,Tetifnevzbfcyuu7uqfsanut5pu
Tarja Preta,Casuarina,Certidão,Td7waozi7pjwosg2c737kgd2364
Ponto de Vista,Casuarina,Trilhos Terra Firme,T4gz53mci4mt5zykocj22fayigm
Murmúrio,Casuarina,Trilhos Terra Firme,Tchgkymkib4ngqujhpmxdwm5mxi
Falso Moralista,Casuarina,Casuarina,Tgac6swifjby7gs7zhoqcftwov4
Chicala,Casuarina,7,T2ibfuastaudi2als2wozyspza4
Vaso Ruim,Casuarina,Certidão,T2d3zzr4a7l7hgrepvh42o6wzfu
Cabelos Brancos (feat. Paulinho Moska),Casuarina,Roda de Samba do Casuarina e Convidados,Tff63sazks5dnvxltn54hc4pqli
Disritmia,Casuarina,Roda de Samba do Casuarina e Convidados,Tn6w7ycge6pjor2waw3qvyjuv6a
Tempo Bom na Maré (feat. Martinho da Vila),Casuarina,+ 100,Tuz2fqig4fx4rm662pafzotoptq
Formiga Miúda,Casuarina,Casuarina,Ti5huf6nc6wa6r4pyksetpyt47e
A Vizinha do Lado,Casuarina,No Passo do Caymmi,Toxfjtirmwamrheeyt5xclxgwve
Trago No Meu Pandeiro,Casuarina,+ 100,Tj6roi2fwuy7fvjweuqfw3wq2qi
Queira ou Não Queira,Casuarina,7,Txqj3polprxumiy7hoct6c4sl3m
Lá Vem a Baiana,Casuarina,No Passo do Caymmi,Tw6a25ektnnzx4wtsntnd66c6y4
Pé de Vento,Casuarina,7,Tc777uw5qhvz6lekuuqgkb5efam
Rasteira,Casuarina,7,Tstlc7bhccix42zrakvbaklrdmu
Deixa Sangrar,Casuarina,7,Thbxlctcdenb3rb26jvihttbtsm
400 Anos de Favela (feat. Pedro Miranda),Casuarina,Casuarina,Trh6h7n2e43pkvqsfaaiquvarru
Minha Filosofia,Casuarina,Casuarina,Tlhsrcokhxdmf72oszxgogni57y
Inconstante,Casuarina,Certidão,Tz2nbfmo3m6pv3wtzrzjahimyhq
É Isso Aí (Isso é Problema Dela),Casuarina,Roda de Samba do Casuarina e Convidados,Tr6ge4cohp32edivvdqcgqgeqge
Marina,Casuarina,No Passo do Caymmi,Tlosomyfd57rsenwe3qncvgwgpy
Onda de Poeta,Casuarina,Certidão,Tdxifi6k7j2gl3cp4p4y54fl3hu
Vocação,Casuarina,Trilhos Terra Firme,Tl27lytnv6f57nntqd7fz5w5xpe
Você Já Foi à Bahia,Casuarina,No Passo do Caymmi,Tj2ybxzu74xqckyqcvdh6jmnezy
Pequenino,Casuarina,Trilhos Terra Firme,Tiwdlvcjuxtzusar5zdkncdkfoy
João Valentão,Casuarina,No Passo do Caymmi,Tw4zi7qpsqtdpulhbblyq3th3se
Trilhos,Casuarina,Trilhos Terra Firme,Txrxjxuzwgynyrahzhsth4kammi
O Dia Se Zangou,Casuarina,Roda de Samba do Casuarina e Convidados,T5pv4yvtgxnksecdhvr7ym4p4qe
Saudade da Bahia,Casuarina,No Passo do Caymmi,Tnl7e7czfwusoax6jsyvmb3ouxa
Rosa Morena (feat. Moinho),Casuarina,Roda de Samba do Casuarina e Convidados,Twekpf7pvhtrjjlj3oe3rkezlcu
O Que É Que a Baiana Tem?,Casuarina,No Passo do Caymmi,Tuqxj5e2igi32utfqqkghm7yse4
Quiproquó,Casuarina,7,Tjycrklcbentuyjvg2d7qygc2fq
Só Louco,Casuarina,No Passo do Caymmi,Txfqp75xbmlzzowkhau4mq4bjfy
Dissimulata,Casuarina,Trilhos Terra Firme,Tfdisko4rqs277xlsp3uyhhd5p4
Swing de Campo Grande,Casuarina,Roda de Samba do Casuarina e Convidados,Tc3kmcdlijuazsn4heuriucim5y
