My Baby Just Cares for Me,Nina Simone,Keep Calm and Listen Nina Simone,Twchbli5bha5e3lmv6ypyompvfu
Amazonas,João Donato Trio,Sambolero,Txgsdjh52zupp6z3veoc47lhqm4
Quem Diz Que Sabe,João Donato Trio,Sambolero,Txz7qvrdx7suhtmumni7mlzwcqy
Surpresa,João Donato Trio,Sambolero,Tdl4iquleoaqv3estzasxoyqqea
Bananeira,João Donato Trio,Sambolero,Txh36mmvr46kkurmydcpuctnwwq
Brisa do Mar,João Donato Trio,Sambolero,Tkp6wcwx64zlj5z4doxxwns5774
E Menina,João Donato Trio,Sambolero,Tx5j63zcx44otr66u3wolaqmawa
Lugar Comum,João Donato Trio,Sambolero,T6xnlqdv476cc65emg324gnhebe
Sambolero,João Donato Trio,Sambolero,Tgmpvco5b7elv6bk6vkrkwsnhu4
A Rã,João Donato Trio,Sambolero,Tt4lxzrnv5zivspkjn44lw53gzm
Nasci para Bailar,João Donato Trio,Sambolero,T3wo2chx6zjf4xwgcfvuqsc32l4
Jodel,João Donato Trio,Sambolero,Txhhcxjtq4gnhzk3xvxakzv4lta
"Sambou, Sambou (feat. Zeca Pagodinho)",João Donato Trio,Sambolero,Tez3k7qkz7cm77giac2l2dj5jqy
Ad Lib Blues (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T4tszyw5dug5kdx2mvedpc44xce
"Just You, Just Me (feat. The Oscar Peterson Trio)",Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T253vxptfn5vprm72nsaqnp2gji
Tea for Two (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T3xupdp32j3nyzxws7htvuuhllm
Indiana (feat. The Oscar Peterson Trio),Lester Young,The President Plays with the Oscar Peterson Trio (Bonus Track Version),T35z53gzdcn43c6cjoppjcrmdiq
Cherokee,Art Van Damme,Lullaby in Rhythm,Tgqtpysf3e655jyprrpyssr6i5a
A Foggy Day,Red Garland,Red,Tjo66zb5h3g4tdq7azfktmru2lq
September in the Rain,Red Garland,Red,T7zjiw5knnjoi5tnitjabvbjiza
I Say A Little Prayer For You,Wes Montgomery,Down Here On The Ground,Tekladeu7qjvetqpz5qfbuxi4ee
Know It All,Wes Montgomery,Down Here On The Ground,Tkljvtfe5tcmmh5eoyqufzbfwti
Autumn leaves,Cannonball Adderley,Somethin' Else,Tq2c7t7hasmsq7yslh45hby2k2m
Sophisticated Lady,Thelonious Monk,Plays Duke Ellington [Keepnews Collection] (Remastered),Tnanp5ixujlm2gcgh6oopovh4za
Meu Fraco É Café Forte,Rio 65 Trio,Rio 65 Trio,Tx3nbyienj7wvbabxor4hfgxxti
Preciso Aprender A Ser Só,Rio 65 Trio,Rio 65 Trio,T6lttbrwqcvfkaooiw5iyhlisbi
Farjuto,Rio 65 Trio,Rio 65 Trio,T74i3ttjkul2uzwjayldi7q6wna
Desafinado,Rio 65 Trio,Rio 65 Trio,Tigt7bzztehzvi3huzridtn545a
Sonnymoon For Two,Rio 65 Trio,Rio 65 Trio,Twdq7zto4bv4hvxzqpjgnnfascq
Espera De Você,Rio 65 Trio,Rio 65 Trio,Tamfdfmrfx2alct6tzfoccxqzzq
Mau Mau,Rio 65 Trio,Rio 65 Trio,Txhswmc3mivk6tsrm7g2dpyg7xm
Tem Dó,Rio 65 Trio,Rio 65 Trio,Tx3whlsa5ns7zkqxwxevhvlcqsa
Azul Contente,Rio 65 Trio,Rio 65 Trio,T34ylq52crbzjgc4rp33h66iasa
Manhã De Carnaval,Rio 65 Trio,Rio 65 Trio,Trb7qmmczrcjevtvpulax4764si
Minha Namorada,Rio 65 Trio,Rio 65 Trio,T36endw7ouf73mevo3ccw77kaam
In Orbit,Thelonious Monk,In Orbit,Ttasj45w6h7whbixrhztxfg4a4u
Trust In Me,Thelonious Monk,In Orbit,T4xto4hixie45lgk2ia3iqxeo7e
Let's Cool One,Thelonious Monk,In Orbit,Tvymfmr4zyghya62czoqqkhtequ
Pea-Eye,Thelonious Monk,In Orbit,Tsbftggfzlseyz3euns55w76vli
Argentia,Thelonious Monk,In Orbit,Tkvgcrdubgsjdwqcffs4n6jcmzm
Moonlight Fiesta,Thelonious Monk,In Orbit,Tvclos6e5cydmk5jiozlkgcagy4
Buck's Business,Thelonious Monk,In Orbit,Tx4rfybj7zug7qd6leijl4sm27y
Very Near Blue,Thelonious Monk,In Orbit,Tozf4unifn6mot5la6tiaakda2u
Fluegelin' The Blues,Thelonious Monk,In Orbit,Tyer22yeumn3wlinwi6shs7nd5q
