Chão de Giz,Zé Ramalho,Antologia Acústica,Tcihg6i4pwcc6uxoerxawz26pqu
O Trem Azul,Lo Borges,Clube da Esquina 1,Tocb7guednifl6htpqbxtzrjkku
Palco,Gilberto Gil,Luar,Tpgtht2dgecd5hirjafpwsd7bjy
Para Lennon e Mccartney,Milton Nascimento,Milton,Tmyjg54hrejeop2fj5fta7epwkm
Aquele Abraço (Ao Vivo),Gilberto Gil,Gilbertos Samba Ao Vivo,Teqhmq5wtzvsu3nrvuaykdsnahe
Espanhola (Ao Vivo),Sá & Guarabyra,Maxximum - Sá & Guarabyra,Ttsxy55dxykryxg5xnmnmezq5ny
Canção da América,Milton Nascimento,Nada Será Como Antes,T26ji76szqhh7frtlbipvhxdobe
Como Nossos Pais,Elis Regina,Elis Regina Em Falso Brilhante,Tuppx4kpqd7g7pjewmxuzeisuz4
Drão,Gilberto Gil,Um Banda um,Txdcpy6tpsbr6q4zqa4guwpu2nu
Esotérico (Ao Vivo),Gilberto Gil,Bandadois,Tjiqv7y5tbfzo5ejjfv2caudpp4
Como Dois Animais,Alceu Valença,Sol e Chuva,T44d2hap2vybxio6pvq33wvr3ve
Kid Cavaquinho,João Bosco,Maxximum - João Bosco,Tuejwqdtcjlxugdkmn3ggxernpm
Tropicana (Morena Tropicana),Alceu Valença,Sol e Chuva,Tunigdnwmjypqrtf6yejupis26m
Tenho Sede,Gilberto Gil,Refazenda,Tnpl4kjwzanglijmfalqgbzy3lm
De Frente Ao Crime,Joao Bosco,Melhor do Samba No Brasil,T7cqeucq5oxz7ohbjcl34rt3ofu
Siri Recheado e o Cacete,João Bosco,Bandalhismo,Tquzxz3azztxogkkd4utmnfbqf4
Samba de Orly,Chico Buarque,Chico Buarque Instrumental,T42oex5kohkjczz2sbv4o47wg5u
Incompatibilidade de Gênios,João Bosco,Galos De Briga,T3rvnkmm6l4snaaklanqcab2bti
Feijoada Completa,Chico Buarque,Chico Buarque,T33lawd77eyod2o4kmhkkwxgcha
Papel Machê,João Bosco,O Som do Brasil,Trbnhwp7syeyuu3s7ujhbtn4rui
Coração Selvagem,Belchior,Auto Retrato,Tjr4izbwlzmsqkl2f7plebmzn4a
Refazenda,Gilberto Gil,Refazenda,Tcv5sdi6yz74umkhju7a7ixndua
Anunciação (Ao Vivo),Alceu Valença,Valencianas (Ao Vivo),Tkwcagn3ug6v4m3w2d5vx7t66ym
La Belle de Jour / Girassol (Ao Vivo),Alceu Valença,"O Grande Encontro 20 Anos: Alceu, Elba e Geraldo (Ao Vivo)",Tlgnnslce4iz7tsfjbceffqgtc4
O Mestre Sala dos Mares,João Bosco,Latin Grooves - Samba,Tfognly4vsp26ooezhkt6edhl5a
Coisa Feita,João Bosco,Comissão De Frente,Tswtqa37ijq2zzbbnmlvc2yosm4
Roda-Viva,Chico Buarque,Chico Buarque de Hollanda Vol. 3,Tc26jfem6myv4vtqeytmi6v22wi
Comentário a Respeito de John,Belchior,Acústico,Tmi7gjsripuod5dnfqhekyo5clq
Nação,João Bosco,Comissão De Frente,T5orao4bo3tltmpvnpf5zw2rlaa
Cotidiano,Chico Buarque,Construção,Tht2buz7oa2ru3i7uowwhbzb5ce
Samba da bênção (Remastered),Vinicius de Moraes,Garota de Ipanema (Remastered),Tjxt7mz2z64wna6s5yodmluvejq
Amigo É Pra Essas Coisas (Ao Vivo),MPB4,Arte de Cantar - Ao Vivo,Ti5z3jubzh3oa3omrixreix6tri
Medo de Avião,Belchior,The Best Of Belchior,Tnqfoqjndhcmpm7jndub2xacdnu
Tocando Em Frente,Almir Sater,Além do Tempo,T654oeamlhyxm2vssikgdkxtn3m
Todo sujo de batom,Belchior,Warner 30 Anos,Ts2f2cocl4cmmqfqepsm4exsydm
Tigresa (Original Album),Caetano Veloso,Caetano (Série Grandes Nomes Vol. 1),T2iy5zx3m55vpxqkklnx3j2afly
Voce E Linda,Caetano Veloso,The Best Of Caetano Veloso - Sem Lenço Sem Documento,Tx6x7ygzavipcqppusfax3wvnqq
Madalena,Elis Regina,A Arte De Elis Regina,Txsbbdvrinrsjrn6fvgz4ugywky
Travessia,Milton Nascimento,Travessia,Tmzq57234hvfhns7b7c2brgleku
