La vie en rose,Baguette Quartette,A La Noce,Tvmrf2yehqstsxdp3x6uyyt2eua
Un homme et une femme,Baguette Quartette,A La Noce,Tdrcfsxi2nym5nwbg77xs563f3i
La mer,Baguette Quartette,A La Noce,Tsgugjenlx22hk5gxas6qocf4lq
Que reste-t-il de nos amours?,Baguette Quartette,Rendez Vous,Tt5qgpuscf6e7hbwqye2iaoyzbm
Les parapluies de Cherbourg,Baguette Quartette,A La Noce,Tfwuso4wemcg5iqf2dis7mne7na
C'est si bon,Eartha Kitt,The Best Collection,Tgwit4mqv7nzyxk6m3w34pnikbm
Ne Me Laisse Pas L'Aimer,Brigitte Bardot,BB 64,Tgr5krr4q6myiqfijz6riuau7we
Juste quelqu'un de bien,Enzo Enzo,Deux,T2tcmlgnne24yo47jjg7uvsehhe
La Vie En Rose,Edith Piaf,La vie en rose,Tsc7aklxlyvynqpkhc4nbbbs4my
La Vie En Rose,Madeleine Peyroux,Dreamland,Twgbf6yr7cbszajpf3n5wgavr4a
Que reste-t-il de nos amours,Charles Trenet,Greatest hits (40 grandes chansons),Tpyqrgqzjrpdnmek65riqkt7s4m
Sympathique,Pink Martini,A Retrospective,Tcibhe5n26tvz5obbohor7ebze4
Si la photo est bonne,Barbara,Barbara,T5g3eds4vsyra7djnhc3mn6x2aq
Mon oncle,Jacques Tati,Mon oncle,Tuj74t3dj2poyilo7qo4fhfg46a
Monsieur Hulot's Holiday,Gary Lucas,Cinefantastique,Tt7nyds6c6xjq36diwgxtciu6p4
