"Theme From ""Shaft""",Isaac Hayes,Greatest Hit Singles,Tpb5lk3sgt7lkipdzqdlvrzjv6u
Across 110th Street,Bobby Womack,The Best Of Bobby Womack: The Soul Years,Tcrbjszokuy43cerebxjhjui7cu
What's Going On,Marvin Gaye,What's Going On (40th Anniversary),Tn3js66ju2stp62qjbzffpxzwxy
Let's Stay Together,Al Green,Let's Stay Together,Tqoqj75a6pg6cfp7bmtwiostl2q
(Sittin' On) The Dock of the Bay,Otis Redding,Dock Of The Bay,T34zf6e7rumz5egh6shv52txteu
I Say a Little Prayer,Aretha Franklin,Aretha Now,Txquvvrxoph56akg5hzjgz6f6mu
Let The Music Play,Barry White,Let The Music Play,Tor3ilqrxdikxl6c26xe3uqqqx4
Be Thankful for What You Got (Pt. 1 & Pt. 2),William DeVaughn,Be Thankful for What You Got,Tg2yju2f7fadm7fef43wmftekm4
If You Want Me to Stay,Sly & The Family Stone,Fresh,Tjdnsjda5p2ahhbdgownqocxrke
Mercy Mercy Me (The Ecology),Marvin Gaye,What's Going On,T4chdqrk774twpils422ea26l5e
See You When I Git There,Lou Rawls,The Essential Lou Rawls,Tvcc4v44lbmka2ljdcarcqvwc2i
My Girl,The Temptations,The Temptations Sing Smokey,Tcncnvqfropqfaksjlgbi647jry
My Cherie Amour,Stevie Wonder,My Cherie Amour,Tsy6zp7dfikcezhyiblvwvl646q
I Want You (Single Version),Marvin Gaye,I Want You,Tb3suhmrqxcw4r47eq5vyiigu7u
Papa Don't Take No Mess (Pt. 1),James Brown,Greatest Breakbeats (2CD),Tugsrpjyi6s2bopqloxcvpattoa
Respect,Aretha Franklin,I Never Loved A Man The Way I Love You,Tcmk4ldiq4gqyjemt6cr2csidja
Let's Get It On,Marvin Gaye,Let's Get It On,T7mwqne7oltlxzzmah2x4r5vlmi
Think,Aretha Franklin,Aretha Franklin,Tp23x7p5sf2bcrjqbwrn5z7mbaa
Lowdown (Edit),Boz Scaggs,Silk Degrees,T2xsiutuhm5jpegkqlojexkhcoe
You Are The Sunshine Of My Life,Stevie Wonder,Talking Book,Tvmloc4cn3jxqtl4oia5wto2omq
