I Never Loved a Man (The Way I Love You),Aretha Franklin,Sweet Soul Music: 1967 Soul and R&B,Tgxwiakmlrnajxnjco27ujmffai
Respect,Aretha Franklin,30 Greatest Hits,To7yffl4ltcul4g7f2sczvnvzxe
Think,Aretha Franklin,1968,Tasw7xuwcnc76oboksfukxos6gq
Dr. Feelgood (Love Is Serious Business),Aretha Franklin,Soul Queen,Tl6gicbh2uu4xhr2quxusizhbbu
I Say a Little Prayer,Aretha Franklin,1968,Thhu46uhw2xqfckuuth5upamorq
Ain't No Way,Aretha Franklin,30 Greatest Hits,Taufa6m7nkgbm5diftqfmazbyyi
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,30 Greatest Hits,Tz3tqlswqlhkbdz5fddkxm4yzfe
Chain of Fools,Aretha Franklin,Feel Good Weekend,Tuorsbodpbtafbkafsv3dckoioq
Don't Play That Song,Aretha Franklin,30 Greatest Hits,Tgx6yd7o562im44q2sjnq7xb2li
Do Right Woman - Do Right Man,Aretha Franklin,30 Greatest Hits,Tvnn5sc4jqhkz3b3gmpyufbw3zu
I Can't Wait Until I See My Baby's Face (Remastered),Aretha Franklin,Runnin' Out Of Fools,Tdcqkudkl75put4j7kpg42boioe
