More Bounce to the Ounce,Zapp & Roger,Sound of Funk,Tnow33huludlzf7weeq4opyavui
Give Up The Funk (Tear The Roof Off The Sucker),Parliament,The Best Of Parliament: Give Up The Funk,Ttanuazygq466dt6dm2upmlelnm
Super Freak,Rick James,Gold - '80s Soul,Twsakz4c7xkotmisf2lbm5w2k6y
Pick up the Pieces,Average White Band,AWB R&B,Trjyh3pfztggiopxvv23efqiony
Juicy Fruit,Mtume,Juicy Fruit,T3qnpz2qvux4w7yiwfi4mlluiwu
Word Up,Cameo,Word Up,Tdymtzhzbf2cphifujb2wt6kmdy
Superstition,Stevie Wonder,At The Close Of A Century,Tv65eqtjk5aw7kxa3zf4tqfk2ey
Don't Stop 'Til You Get Enough (Single Version),Michael Jackson,The Essential Michael Jackson,Twwdh2humrqty3ikpbykes7z4ye
Jungle Boogie,Kool & The Gang,Easter Morning,Tpabjbfmtpz5dqpaaqfzejnsuwq
Rock Steady,The Whispers,Rock Steady,Tf3ymhpitjqnkwmjgbsqqcfphke
Tell Me Something Good (feat. Chaka Khan),Rufus,"The ABC's Of Soul, Vol. 2 (Classics From The ABC Records Catalog 1969-1974)",T7ioui6e2ldhrhc3abboulgsje4
Funky Town,Lipps Inc.,Paradas Continuas,T4d4prrsp55iofebikuiznfviki
Flash Light,Parliament,"McFarland, USA (Original Motion Picture Soundtrack)",Too3qcvmwcyxrhynvk5flumcuf4
Thank You (Falettineme Be Mice Elf Agin),Sly Stone,The Very Best Of,Tazcft2bwtwrq7zscutmoboiqvu
Cissy Strut,The Meters,100 Soul,Taoxgnssmfrv5jztjmkjjk7xsne
"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton,Everybody Wants Some Disco,Tl2zeccyelc5dpm4yks5fbodwsa
Chameleon,Herbie Hancock,Flood,T4zrngrdvgw6jyokej5dj4rpnfa
P.Funk Wants To Get Funked Up,Parliament,One Nation Under A Groove - (The Big Funk Collection),Trczvnhxutpwknmtvaon3kjojny
Papas Got A Brand New Bag,James Brown,Papa's Got A Brand New Bag,T53qtfu244eddpm3ka2xdg4wumy
Got To Give It Up,Marvin Gaye,Love Funk 2,T4vlipprnov5k7m3keptxxcuslm
Lowrider (On the Boulevard),Latin Alliance,Rap Declares WAR,Twfmnacsnny5zh5daphal67vga4
It's Your Thing,The Isley Brothers,It's Our Thing,Tvtdmwuhd3te6o6evil3ecef2we
"Theme From ""Shaft""",Isaac Hayes,Greatest Hit Singles,Tpb5lk3sgt7lkipdzqdlvrzjv6u
